,calculator.py:38
src/tests/test_calculator.py::test_add,0
src/tests/test_calculator.py::test_add_subtract_multiply,0
src/tests/test_calculator.py::test_divide,0
src/tests/test_calculator.py::test_factorial,0
src/tests/test_calculator.py::test_factorial_expensive,0
src/tests/test_calculator.py::test_fibonacci,0
src/tests/test_calculator.py::test_gcd_lcm,1
src/tests/test_calculator.py::test_gcd_neg,0
src/tests/test_calculator.py::test_is_prime,0
src/tests/test_calculator.py::test_large_factorial,0
src/tests/test_calculator.py::test_large_fibonacci,0
src/tests/test_calculator.py::test_large_prime,0
src/tests/test_calculator.py::test_modulo,0
src/tests/test_calculator.py::test_multiply,0
src/tests/test_calculator.py::test_neg_factorial,0
src/tests/test_calculator.py::test_negative_fibonacci,0
src/tests/test_calculator.py::test_power,0
src/tests/test_calculator.py::test_small_fibonacci,0
src/tests/test_calculator.py::test_small_prime,0
src/tests/test_calculator.py::test_subtract,0
src/tests/test_calculator.py::test_tiny_prime,0
src/tests/test_calculator.py::test_very_large_factorial,0
src/tests/test_calculator.py::test_very_large_prime,0
src/tests/test_date_utils.py::test_add_subtract_days,0
src/tests/test_date_utils.py::test_current_date,0
src/tests/test_date_utils.py::test_days_between,0
src/tests/test_date_utils.py::test_is_leap_year,0
src/tests/test_date_utils.py::test_is_weekend,0
src/tests/test_date_utils.py::test_leap_year_edge_case,0
src/tests/test_date_utils.py::test_next_weekday,0
src/tests/test_easter.py::test_easter_bad_method,0
src/tests/test_easter.py::test_easter_julian,0
src/tests/test_easter.py::test_easter_orthodox,0
src/tests/test_easter.py::test_easter_western,0
src/tests/test_ecommerce.py::test_order_payment,0
src/tests/test_ecommerce.py::test_product_availability_and_stock,0
src/tests/test_ecommerce.py::test_shopping_cart,0
src/tests/test_geometry.py::test_circle_area,0
src/tests/test_geometry.py::test_circle_circumference,0
src/tests/test_geometry.py::test_cylinder_volume_and_surface_area,0
src/tests/test_geometry.py::test_distance_between_points,0
src/tests/test_geometry.py::test_is_right_triangle,0
src/tests/test_geometry.py::test_rectangle_area_and_perimeter,0
src/tests/test_geometry.py::test_sphere_volume_and_surface_area,0
src/tests/test_geometry.py::test_triangle_area_and_perimeter,0
src/tests/test_string_utils.py::test_case_conversion,0
src/tests/test_string_utils.py::test_count_vowels_and_consonants,0
src/tests/test_string_utils.py::test_is_anagram,0
src/tests/test_string_utils.py::test_is_palindrome,0
src/tests/test_string_utils.py::test_longest_common_prefix,0
src/tests/test_string_utils.py::test_remove_whitespace,0
src/tests/test_string_utils.py::test_reverse,0
src/tests/test_user_profile.py::test_email_domain,0
src/tests/test_user_profile.py::test_friend_management,0
src/tests/test_user_profile.py::test_is_adult,0
src/tests/test_user_profile.py::test_mutual_friends,0
src/tests/test_utils.py::test_utils_default_tz_info_aware,0
src/tests/test_utils.py::test_utils_default_tz_info_naive,0
src/tests/test_utils.py::test_utils_today,0
src/tests/test_utils.py::test_utils_today_tz_info,0
src/tests/test_utils.py::test_utils_today_tz_info_different_day,0
src/tests/test_utils.py::test_utils_within_delta,0
src/tests/test_utils.py::test_utils_within_delta_with_negative_delta,0
